fen,move_uci
rnbqkbnr/pppp1ppp/8/4p3/3P4/4P3/PPP2PPP/RNBQKBNR b KQkq - 0 2,e5d4
rnbqkbnr/pppp1ppp/8/8/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,f8b4
rnbqk1nr/pppp1ppp/8/8/1b1P4/2P5/PP3PPP/RNBQKBNR b KQkq - 0 4,b4a5
rnbqk1nr/pppp1ppp/8/b7/1P1P4/2P5/P4PPP/RNBQKBNR b KQkq - 0 5,a5b6
rnbqk1nr/pppp1ppp/1b6/8/1P1P4/2P5/P3QPPP/RNB1KBNR b KQkq - 2 6,d8e7
rnb1k1nr/ppppqppp/1b6/8/1P1P4/2P1B3/P3QPPP/RN2KBNR b KQkq - 4 7,c7c5
rnb1k1nr/pp1pqppp/1b6/2P5/3P4/2P1B3/P3QPPP/RN2KBNR b KQkq - 0 8,b6a5
rnb1k1nr/pp1pqppp/8/b1P5/P2P4/2P1B3/4QPPP/RN2KBNR b KQkq - 0 9,b8c6
r1b1k1nr/pp1pqppp/2n5/b1P5/P2P4/2P1B3/R3QPPP/1N2KBNR b Kkq - 2 10,c6d4
r1b1k1nr/pp1pqppp/8/b1P5/P2n1B2/2P5/R3QPPP/1N2KBNR b Kkq - 1 11,d4e2
r1b1k1nr/pp1pqppp/8/b1P5/P4B2/2P5/R3BPPP/1N2K1NR b Kkq - 0 12,e7e6
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e7e5
rnbqkbnr/pppp1ppp/8/4p3/4PP2/8/PPPP2PP/RNBQKBNR b KQkq - 0 2,b8c6
r1bqkbnr/pppp1ppp/2n5/4P3/4P3/8/PPPP2PP/RNBQKBNR b KQkq - 0 3,c6e5
r1bqkbnr/pppp1ppp/8/4n3/3PP3/8/PPP3PP/RNBQKBNR b KQkq - 0 4,e5c6
r1bqkbnr/pppp1ppp/2n5/8/3PP3/2P5/PP4PP/RNBQKBNR b KQkq - 0 5,d8h4
r1b1kbnr/pppp1ppp/2n5/8/3PP2q/2P5/PP1K2PP/RNBQ1BNR b kq - 2 6,h4e4
r1b1kbnr/pppp1ppp/2n5/8/3Pq3/1PP5/P2K2PP/RNBQ1BNR b kq - 0 7,e4f4
r1b1kbnr/pppp1ppp/2n5/8/3P1q2/1PPK4/P5PP/RNBQ1BNR b kq - 2 8,f4d6
r1b1kbnr/pppp1ppp/2nq4/8/2PP4/1P1K4/P5PP/RNBQ1BNR b kq - 0 9,d6d4
r1b1kbnr/pppp1ppp/2n5/8/2Pq4/1P6/P1K3PP/RNBQ1BNR b kq - 1 10,d4a1
r1b1kbnr/pppp1ppp/2n5/8/1PP5/8/P1K3PP/qNBQ1BNR b kq - 0 11,a1a2
r1b1kbnr/pppp1ppp/2n5/8/1PP5/2K5/q5PP/1NBQ1BNR b kq - 1 12,a2b1
