fen,move_uci
r1b1k3/ppp3pp/3p4/3P4/7P/Pr6/7K/5R2 w q - 0 25,f1e1
r1b5/pppk2pp/3p4/3P4/7P/Pr6/7K/4R3 w - - 2 26,e1g1
r1b5/pppk2pp/3p4/3P4/7P/r7/7K/6R1 w - - 0 27,g1g7
r1b1k3/ppp3Rp/3p4/3P4/7P/r7/7K/8 w - - 1 28,g7h7
r1b1k3/ppp4R/3p4/3P4/7P/7r/7K/8 w - - 1 29,h2g2
r1b1k3/1pp4R/3p4/p2P4/7P/7r/6K1/8 w - - 0 30,h4h5
r1b1k3/1pp4R/3p4/3P3P/p7/7r/6K1/8 w - - 0 31,h5h6
r1b1k3/1pp4R/3p3P/3P4/8/p6r/6K1/8 w - - 0 32,h7h8
r1b4R/1ppk4/3p3P/3P4/8/p6r/6K1/8 w - - 2 33,h8h7
r1b1k3/1pp4R/3p3P/3P4/8/p6r/6K1/8 w - - 4 34,h7h8
r1b4R/1pp1k3/3p3P/3P4/8/p6r/6K1/8 w - - 6 35,h8h7
r1b5/1pp4R/3p1k1P/3P4/8/p6r/6K1/8 w - - 8 36,h7h8
r1b4R/1pp5/3p2kP/3P4/8/p6r/6K1/8 w - - 10 37,h6h7
r1b4R/1pp4r/3p2k1/3P4/8/p7/6K1/8 w - - 0 38,h8h7
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e7e5
rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,d7d6
rnbqkbnr/ppp2ppp/3p4/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 1 3,f7f5
rnbqkbnr/ppp3pp/3p4/4pp2/2B1P3/3P1N2/PPP2PPP/RNBQK2R b KQkq - 0 4,d8e7
rnb1kbnr/ppp1q1pp/3p4/4ppN1/2B1P3/3P4/PPP2PPP/RNBQK2R b KQkq - 2 5,g8h6
rnb1kb1r/ppp1q1pp/3p3n/4ppN1/2B1P3/3P4/PPP2PPP/RNBQ1RK1 b kq - 4 6,f5e4
rnb1kb1r/ppp1q1pp/3p3n/4p1N1/2B1P3/8/PPP2PPP/RNBQ1RK1 b kq - 0 7,b8d7
r1b1kb1r/pppnq1pp/3p3n/4p1NQ/2B1P3/8/PPP2PPP/RNB2RK1 b kq - 2 8,g7g6
r1b1kb1r/pppnq2p/3p2pn/4p1N1/2B1P3/5Q2/PPP2PPP/RNB2RK1 b kq - 1 9,d7f6
r1b1kb1r/ppp1q2p/3pNnpn/4p3/2B1P3/5Q2/PPP2PPP/RNB2RK1 b kq - 3 10,c8e6
r3kb1r/ppp1q2p/3pBnpn/4p3/4P3/5Q2/PPP2PPP/RNB2RK1 b kq - 0 11,e7e6
r3kb1r/ppp4p/3pqnpn/4p3/4P3/2N2Q2/PPP2PPP/R1B2RK1 b kq - 1 12,f8g7
r3k2r/ppp3bp/3pqnpn/4p3/4P3/2N4Q/PPP2PPP/R1B2RK1 b kq - 3 13,e6h3
r3k2r/ppp3bp/3p1npn/4p3/4P3/2N4P/PPP2P1P/R1B2RK1 b kq - 0 14,g6g5
r3k2r/ppp3bp/3p1n1n/4p1p1/4P3/2N2P1P/PPP4P/R1B2RK1 b kq - 0 15,g5g4
r3k2r/ppp3bp/3p1n1n/4p3/4P1P1/2N2P2/PPP4P/R1B2RK1 b kq - 0 16,h6g4
r3k2r/ppp3bp/3p1n2/4p3/4P1P1/2N5/PPP4P/R1B2RK1 b kq - 0 17,f6g4
r3k2r/ppp3bp/3p4/3Np3/4P1n1/8/PPP4P/R1B2RK1 b kq - 1 18,e8c8
2kr3r/ppp3bp/3p4/3Np3/4P1n1/7P/PPP5/R1B2RK1 b - - 0 19,g4f6
2kr3r/ppp3bp/3p1N2/4p3/4P3/7P/PPP5/R1B2RK1 b - - 0 20,g7f6
2kr3r/ppp4p/3p1R2/4p3/4P3/7P/PPP5/R1B3K1 b - - 0 21,h8g8
2kr2r1/ppp4p/3p1R2/4p3/4P3/7P/PPP5/R1B2K2 b - - 2 22,d6d5
2kr2r1/ppp4p/5R2/3Pp3/8/7P/PPP5/R1B2K2 b - - 0 23,d8d5
2k3r1/ppp4p/5R1B/3rp3/8/7P/PPP5/R4K2 b - - 1 24,g8g3
2k5/ppp4p/5R1B/3rp3/7P/6r1/PPP5/R4K2 b - - 0 25,g3h3
2k5/ppp4p/5R2/3rp1B1/7P/7r/PPP5/R4K2 b - - 2 26,h3h1
2k5/ppp4p/5R2/3rp1B1/7P/8/PPP1K3/R6r b - - 4 27,h1a1
2k2R2/ppp4p/8/3rp1B1/7P/8/PPP1K3/r7 b - - 1 28,c8d7
8/pppk1R1p/8/3rp1B1/7P/8/PPP1K3/r7 b - - 3 29,d7e6
8/ppp4R/4k3/3rp1B1/7P/8/PPP1K3/r7 b - - 0 30,a1a2
8/ppp4R/4k3/3rp3/7P/8/rPP1K3/2B5 b - - 1 31,a2a1
8/ppp4R/4k3/3rp3/7P/4B3/1PP1K3/r7 b - - 3 32,a1b1
8/ppp4R/4k3/3rp3/7P/1P2B3/2P1K3/1r6 b - - 0 33,a7a5
8/1pR5/4k3/p2rp3/7P/1P2B3/2P1K3/1r6 b - - 0 34,b7b5
8/R7/4k3/pp1rp3/7P/1P2B3/2P1K3/1r6 b - - 1 35,b5b4
8/R7/4k3/p2rp2P/1p6/1P2B3/2P1K3/1r6 b - - 0 36,d5d1
8/R7/4k2P/p3p3/1p6/1P2B3/2P1K3/1r1r4 b - - 0 37,d1e1
8/R7/4k2P/p3p3/1p6/1P2B3/2PK4/1r2r3 b - - 2 38,e1h1
8/R6P/4k3/p3p3/1p6/1P2B3/2PK4/1r5r b - - 0 39,b1d1
8/R6P/4k3/p3p3/1p6/1P2B3/2P1K3/3r3r b - - 2 40,h1e1
8/R6P/4k3/p3p3/1p6/1P2BK2/2P5/3rr3 b - - 4 41,e6f5
7Q/R7/8/p3pk2/1p6/1P2BK2/2P5/3rr3 b - - 0 42,e5e4
7Q/R7/8/p4k2/1p2p3/1P2B3/2P2K2/3rr3 b - - 1 43,e1f1
7Q/R7/8/p4k2/1p2p3/1P2B3/2P3K1/3r1r2 b - - 3 44,f1g1
7Q/R7/8/p4k2/1p2p3/1P2B3/2P2K2/3r2r1 b - - 5 45,d1f1
7Q/R7/8/p4k2/1p2p3/1P2B3/2P1K3/5rr1 b - - 7 46,f1e1
7Q/R7/8/p4k2/1p2p3/1P2B3/2PK4/4r1r1 b - - 9 47,e1d1
7Q/R7/8/p4k2/1p2p3/1P2B3/2P1K3/3r2r1 b - - 11 48,g1e1
7Q/R7/8/p4k2/1p2p3/1P2B3/2P2K2/3rr3 b - - 13 49,e1f1
7Q/R7/8/p4k2/1p2p3/1P2B3/2P3K1/3r1r2 b - - 15 50,f1g1
7Q/R7/8/p4k2/1p2p3/1P6/2P3K1/3r2B1 b - - 0 51,f5f4
8/R7/8/p7/1p2pk1Q/1P6/2P3K1/3r2B1 b - - 2 52,f4e5
8/8/8/R3k3/1p2p2Q/1P6/2P3K1/3r2B1 b - - 0 53,e5e6
8/8/4k2Q/R7/1p2p3/1P6/2P3K1/3r2B1 b - - 2 54,e6e7
8/R3k3/7Q/8/1p2p3/1P6/2P3K1/3r2B1 b - - 4 55,d1d7
8/R2rk2Q/8/8/1p2p3/1P6/2P3K1/6B1 b - - 6 56,e7d6
8/R2Q4/3k4/8/1p2p3/1P6/2P3K1/6B1 b - - 0 57,d6e5
8/R6Q/8/4k3/1p2p3/1P6/2P3K1/6B1 b - - 2 58,e5f4
8/R7/8/8/1p2pk1Q/1P6/2P3K1/6B1 b - - 4 59,f4e5
8/8/8/R3k3/1p2p2Q/1P6/2P3K1/6B1 b - - 6 60,e5d6
8/8/3k3Q/R7/1p2p3/1P6/2P3K1/6B1 b - - 8 61,d6c7
8/R1k5/7Q/8/1p2p3/1P6/2P3K1/6B1 b - - 10 62,c7b8
1k6/R7/1Q6/8/1p2p3/1P6/2P3K1/6B1 b - - 12 63,b8c8
2k5/2R5/1Q6/8/1p2p3/1P6/2P3K1/6B1 b - - 14 64,c8d8
3k4/2R5/3Q4/8/1p2p3/1P6/2P3K1/6B1 b - - 16 65,d8e8
4k3/4R3/3Q4/8/1p2p3/1P6/2P3K1/6B1 b - - 18 66,e8f8
5k2/4R3/5Q2/8/1p2p3/1P6/2P3K1/6B1 b - - 20 67,f8g8
6k1/6R1/5Q2/8/1p2p3/1P6/2P3K1/6B1 b - - 22 68,g8h8
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e7e5
rnbqkbnr/pppp1ppp/8/4p3/4P3/2N5/PPPP1PPP/R1BQKBNR b KQkq - 1 2,d7d6
rnbqkbnr/ppp2ppp/3p4/4p3/2B1P3/2N5/PPPP1PPP/R1BQK1NR b KQkq - 1 3,d8e7
rnb1kbnr/ppp1qppp/3p4/3Np3/2B1P3/8/PPPP1PPP/R1BQK1NR b KQkq - 3 4,e7h4
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,d2d4
rnbqkb1r/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 2,e2e3
rnbqkb1r/ppp1pppp/3p1n2/8/3P4/4P3/PPP2PPP/RNBQKBNR w KQkq - 0 3,c2c4
rnbqkb1r/ppp2ppp/3p1n2/4p3/2PP4/4P3/PP3PPP/RNBQKBNR w KQkq - 0 4,g1f3
rnbqkb1r/ppp2ppp/3p1n2/8/2Pp4/4PN2/PP3PPP/RNBQKB1R w KQkq - 0 5,e3d4
r1bqkb1r/ppp2ppp/2np1n2/8/2PP4/5N2/PP3PPP/RNBQKB1R w KQkq - 1 6,d4d5
r1bqkb1r/ppp2ppp/3p1n2/3Pn3/2P5/5N2/PP3PPP/RNBQKB1R w KQkq - 1 7,f3e5
r1bqkb1r/ppp2ppp/5n2/3Pp3/2P5/8/PP3PPP/RNBQKB1R w KQkq - 0 8,d1a4
r2qkb1r/pppb1ppp/5n2/3Pp3/Q1P5/8/PP3PPP/RNB1KB1R w KQkq - 2 9,a4b4
r2qk2r/pppb1ppp/5n2/3Pp3/1bP5/8/PP3PPP/RNB1KB1R w KQkq - 0 10,b1d2
r2qk2r/pppb1ppp/5n2/3Pp3/2P5/8/PP1b1PPP/R1B1KB1R w KQkq - 0 11,c1d2
r2q1rk1/pppb1ppp/5n2/3Pp3/2P5/8/PP1B1PPP/R3KB1R w KQ - 1 12,f2f4
r2q1rk1/pppb1ppp/5n2/3P4/2P2p2/8/PP1B2PP/R3KB1R w KQ - 0 13,d2f4
r2q1rk1/ppp2ppp/2b2n2/3P4/2P2B2/8/PP4PP/R3KB1R w KQ - 1 14,d5c6
r2qr1k1/ppp2ppp/2P2n2/8/2P2B2/8/PP4PP/R3KB1R w KQ - 1 15,f1e2
r2qr1k1/p1p2ppp/2p2n2/8/2P2B2/8/PP2B1PP/R3K2R w KQ - 0 16,e1g1
r3r1k1/p1p2ppp/2p2n2/8/2Pq1B2/8/PP2B1PP/R4RK1 w - - 2 17,f1f2
r5k1/p1p2ppp/2p2n2/8/2Pq1B2/8/PP2rRPP/R5K1 w - - 0 18,a1f1
r5k1/p1p2ppp/2p2n2/8/2Pq1B2/8/PP3rPP/5RK1 w - - 0 19,f1f2
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e7e5
rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,d7d6
rnbqkbnr/ppp2ppp/3p4/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 1 3,f7f5
rnbqkbnr/ppp3pp/3p4/4pp2/2B1P3/3P1N2/PPP2PPP/RNBQK2R b KQkq - 0 4,f5e4
rnbqkbnr/ppp3pp/3p4/4p3/2B1P3/5N2/PPP2PPP/RNBQK2R b KQkq - 0 5,g8f6
rnbqkb1r/ppp3pp/3p1n2/4p3/2B1P3/2P2N2/PP3PPP/RNBQK2R b KQkq - 0 6,f6e4
rnbqkb1r/ppp3pp/3p4/4p3/2B1n3/1QP2N2/PP3PPP/RNB1K2R b KQkq - 1 7,e4c5
rnbqkb1r/ppp2Bpp/3p4/2n1p3/8/1QP2N2/PP3PPP/RNB1K2R b KQkq - 3 8,e8d7
rnbq1b1r/pppk1Bpp/3p4/2nQp3/8/2P2N2/PP3PPP/RNB1K2R b KQ - 5 9,c7c6
rnbq1b1r/pp1k1Bpp/2pp4/2n1p3/8/2P2N2/PP1Q1PPP/RNB1K2R b KQ - 1 10,d8e7
rnb2b1r/pp1kqBpp/2pp4/2n1p1N1/8/2P5/PP1Q1PPP/RNB1K2R b KQ - 3 11,h7h6
rnb2b1r/pp1kqBp1/2pp3p/2n1p1N1/1P6/2P5/P2Q1PPP/RNB1K2R b KQ - 0 12,h6g5
rnb2b1r/pp1kqBp1/2pp4/2P1p1p1/8/2P5/P2Q1PPP/RNB1K2R b KQ - 0 13,e7f7
rnb2b1r/pp1k1qp1/2pP4/4p1p1/8/2P5/P2Q1PPP/RNB1K2R b KQ - 0 14,f8d6
rnb4r/pp1k1qp1/2pb4/4p1p1/8/2P5/P2Q1PPP/RNB2RK1 b - - 1 15,e5e4
rnb4r/pp1k1qp1/2pb4/6p1/4p3/2P5/P2Q1PPP/RNBR2K1 b - - 1 16,d7e8
rnb1k2r/pp3qp1/2pQ4/6p1/4p3/2P5/P4PPP/RNBR2K1 b - - 0 17,b8d7
r1b1k2r/pp1n1qp1/2pQ4/6B1/4p3/2P5/P4PPP/RN1R2K1 b - - 0 18,f7h5
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,d2d4
rnbqkbnr/ppp1pppp/3p4/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,e2e3
rnbqkbnr/ppp1pp1p/3p2p1/8/3P4/4P3/PPP2PPP/RNBQKBNR w KQkq - 0 3,f1c4
rnbqk1nr/ppp1ppbp/3p2p1/8/2BP4/4P3/PPP2PPP/RNBQK1NR w KQkq - 2 4,d1f3
rnbqk2r/ppp1ppbp/3p1np1/8/2BP4/4PQ2/PPP2PPP/RNB1K1NR w KQkq - 4 5,e3e4
rnbq1rk1/ppp1ppbp/3p1np1/8/2BPP3/5Q2/PPP2PPP/RNB1K1NR w KQ - 1 6,e4e5
rnbq1rk1/ppp1ppbp/5np1/4p3/2BP4/5Q2/PPP2PPP/RNB1K1NR w KQ - 0 7,d4e5
rnbq1rk1/ppp1ppbp/6p1/4P2n/2B5/5Q2/PPP2PPP/RNB1K1NR w KQ - 1 8,h2h4
rnbq1rk1/ppp1pp1p/6p1/4b2n/2B4P/5Q2/PPP2PP1/RNB1K1NR w KQ - 0 9,g2g4
rn1q1rk1/ppp1pp1p/6p1/4b2n/2B3bP/5Q2/PPP2P2/RNB1K1NR w KQ - 0 10,f3g4
r2q1rk1/ppp1pp1p/2n3p1/4b2n/2B3QP/8/PPP2P2/RNB1K1NR w KQ - 1 11,g1f3
r2q1rk1/ppp1ppbp/2n3p1/7n/2B3QP/5N2/PPP2P2/RNB1K2R w KQ - 3 12,f3g5
r2q1rk1/ppp2pbp/2n1p1p1/6Nn/2B3QP/8/PPP2P2/RNB1K2R w KQ - 0 13,f2f4
r2q1rk1/ppp2pbp/4p1p1/6Nn/2Bn1PQP/8/PPP5/RNB1K2R w KQ - 1 14,f4f5
r2q1rk1/ppp2pbp/4p1p1/5nNn/2B3QP/8/PPP5/RNB1K2R w KQ - 0 15,b1c3
r2q1rk1/ppp2pbp/4p1p1/6Nn/2Bn2QP/2N5/PPP5/R1B1K2R w KQ - 2 16,c1e3
r2q1rk1/ppp2pbp/4p1p1/6Nn/2B3QP/2N1B3/PPn5/R3K2R w KQ - 0 17,e1f1
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e7e5
rnbqkbnr/pppp1ppp/8/4p2Q/4P3/8/PPPP1PPP/RNB1KBNR b KQkq - 1 2,g8f6
rnbqkb1r/pppp1ppp/5n2/4Q3/4P3/8/PPPP1PPP/RNB1KBNR b KQkq - 0 3,f8e7
rnbqk2r/ppppbppp/5n2/7Q/4P3/8/PPPP1PPP/RNB1KBNR b KQkq - 2 4,f6h5
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e7e5
rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,d7d6
rnbqkbnr/ppp2ppp/3p4/4p3/4P3/3P1N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,f7f5
rnbqkbnr/ppp3pp/3p4/4pP2/8/3P1N2/PPP2PPP/RNBQKB1R b KQkq - 0 4,c8f5
rn1qkbnr/ppp3pp/3p4/4pb2/3P4/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 5,e5d4
rn1qkbnr/ppp3pp/3p4/5b2/3Q4/5N2/PPP2PPP/RNB1KB1R b KQkq - 0 6,d8e7
rn2kbnr/ppp1q1pp/3p4/5b2/3Q4/5N2/PPP2PPP/RNBK1B1R b kq - 2 7,b8c6
r3kbnr/ppp1q1pp/2np4/3Q1b2/8/5N2/PPP2PPP/RNBK1B1R b kq - 4 8,f5e6
r3kbnr/ppp1q1pp/2npb3/1Q6/8/5N2/PPP2PPP/RNBK1B1R b kq - 6 9,a7a6
r3kbnr/1Qp1q1pp/p1npb3/8/8/5N2/PPP2PPP/RNBK1B1R b kq - 0 10,a8d8
3rkbnr/2p1q1pp/p1Qpb3/8/8/5N2/PPP2PPP/RNBK1B1R b k - 0 11,e6d7
3rkbnr/2Qbq1pp/p2p4/8/8/5N2/PPP2PPP/RNBK1B1R b k - 0 12,e7f7
3rkbnr/3b1qpp/p2p4/8/8/2Q2N2/PPP2PPP/RNBK1B1R b k - 2 13,f7d5
3rkbnr/3b2pp/p2p4/3q4/8/2Q2N2/PPPB1PPP/RN1K1B1R b k - 4 14,g8f6
3rkb1r/3b2pp/p2p1n2/3q4/2B5/2Q2N2/PPPB1PPP/RN1K3R b k - 6 15,d5b7
3rkb1r/1q1b2pp/p2p1n2/8/2B5/2Q2N2/PPPB1PPP/RN1KR3 b k - 8 16,f8e7
3rk2r/1q1bb1pp/p2p1n2/6B1/2B5/2Q2N2/PPP2PPP/RN1KR3 b k - 10 17,f6e4
3rk2r/1q1bb1Qp/p2p4/6B1/2B1n3/5N2/PPP2PPP/RN1KR3 b k - 0 18,e4f2
3rk2r/1q1bb1Qp/p2p4/6B1/2B5/5N2/PPP2nPP/RNK1R3 b k - 1 19,d7g4
3rk2Q/1q2b2p/p2p4/6B1/2B3b1/5N2/PPP2nPP/RNK1R3 b - - 0 20,e8d7
3r3Q/1q1kR2p/p2p4/6B1/2B3b1/5N2/PPP2nPP/RNK5 b - - 0 21,d7c8
2kr3Q/1R5p/p2p4/6B1/2B3b1/5N2/PPP2nPP/RNK5 b - - 0 22,d8h8
2k4r/R6p/p2p4/6B1/2B3b1/5N2/PPP2nPP/RNK5 b - - 1 23,h8g8
2k3B1/R6p/p2p4/6B1/6b1/5N2/PPP2nPP/RNK5 b - - 0 24,c8b8
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e7e5
rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,d7d6
rnbqkbnr/ppp2ppp/3p4/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 1 3,b8d7
r1bqkbnr/pppn1ppp/3p4/1B2p3/4P3/5N2/PPPP1PPP/RNBQ1RK1 b kq - 3 4,a7a6
r1bqkbnr/1ppn1ppp/p2p4/4p3/B3P3/5N2/PPPP1PPP/RNBQ1RK1 b kq - 1 5,b7b5
r1bqkbnr/2pn1ppp/p2p4/1p2p3/4P3/1B3N2/PPPP1PPP/RNBQ1RK1 b kq - 1 6,c8b7
r2qkbnr/1bpn1ppp/p2p4/1p2p1N1/4P3/1B6/PPPP1PPP/RNBQ1RK1 b kq - 3 7,g8h6
r2qkb1r/1bpn1ppp/p2p3n/1p2p1NQ/4P3/1B6/PPPP1PPP/RNB2RK1 b kq - 5 8,g7g6
r2qkb1r/1bpn1p1p/p2p2pn/1p2p1N1/4P2Q/1B6/PPPP1PPP/RNB2RK1 b kq - 1 9,f8e7
r2qk2r/1bpnbB1p/p2p2pn/1p2p1N1/4P2Q/8/PPPP1PPP/RNB2RK1 b kq - 0 10,h6f7
r2qk2r/1bpnbn1p/p2p2p1/1p2p1N1/3PP2Q/8/PPP2PPP/RNB2RK1 b kq - 0 11,e7g5
r2qk2r/1bpn1n1p/p2p2p1/1p2p1b1/3PP3/6Q1/PPP2PPP/RNB2RK1 b kq - 1 12,h7h5
r2qk2r/1bpn1n2/p2p2p1/1p2P1bp/4P3/6Q1/PPP2PPP/RNB2RK1 b kq - 0 13,d7e5
r2qk2r/1bp2n2/p2p2p1/1p2n1Bp/4P3/6Q1/PPP2PPP/RN3RK1 b kq - 0 14,f7g5
r2qk2r/1bp5/p2p2p1/1p2n1np/4P3/6Q1/PPP2PPP/RN1R2K1 b kq - 1 15,h5h4
r2qk2r/1bp5/p2p2p1/1p2n1n1/4P2Q/8/PPP2PPP/RN1R2K1 b kq - 0 16,h8h4
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,d2d4
rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,e2e3
rnbqkbnr/pp2pppp/2p5/3p4/3P4/4P3/PPP2PPP/RNBQKBNR w KQkq - 0 3,c2c4
rnbqkbnr/pp3ppp/2p1p3/3p4/2PP4/4P3/PP3PPP/RNBQKBNR w KQkq - 0 4,g1f3
rnbqkb1r/pp3ppp/2p1pn2/3p4/2PP4/4PN2/PP3PPP/RNBQKB1R w KQkq - 2 5,c4d5
rnb1kb1r/pp3ppp/2p1pn2/3q4/3P4/4PN2/PP3PPP/RNBQKB1R w KQkq - 0 6,b1c3
rnb1kb1r/pp3ppp/2p1pn2/q7/3P4/2N1PN2/PP3PPP/R1BQKB1R w KQkq - 2 7,f1d3
rnb1kb1r/1p3ppp/p1p1pn2/q7/3P4/2NBPN2/PP3PPP/R1BQK2R w KQkq - 0 8,e3e4
rnb1kb1r/5ppp/p1p1pn2/qp6/3PP3/2NB1N2/PP3PPP/R1BQK2R w KQkq - 0 9,c1d2
rnb1kb1r/5ppp/p1p1pn2/q7/1p1PP3/2NB1N2/PP1B1PPP/R2QK2R w KQkq - 0 10,c3a4
rnb1kb1r/5ppp/p1p1p3/q7/Np1PP1n1/3B1N2/PP1B1PPP/R2QK2R w KQkq - 2 11,a2a3
rn2kb1r/3b1ppp/p1p1p3/q7/Np1PP1n1/P2B1N2/1P1B1PPP/R2QK2R w KQkq - 1 12,a3b4
rn2k2r/3b1ppp/p1p1p3/q7/Nb1PP1n1/3B1N2/1P1B1PPP/R2QK2R w KQkq - 0 13,h2h3
rn2k2r/3b1ppp/p1p1pn2/q7/Nb1PP3/3B1N1P/1P1B1PP1/R2QK2R w KQkq - 1 14,a4c5
rnb1k2r/5ppp/p1p1pn2/q1N5/1b1PP3/3B1N1P/1P1B1PP1/R2QK2R w KQkq - 3 15,a1a5
rnb1k2r/5ppp/p1p1pn2/b1N5/3PP3/3B1N1P/1P1B1PP1/3QK2R w Kkq - 0 16,d2a5
rnb2rk1/5ppp/p1p1pn2/B1N5/3PP3/3B1N1P/1P3PP1/3QK2R w K - 1 17,e4e5
rnb2rk1/5ppp/p1p1p3/B1NnP3/3P4/3B1N1P/1P3PP1/3QK2R w K - 1 18,d3b1
r1b2rk1/3n1ppp/p1p1p3/B1NnP3/3P4/5N1P/1P3PP1/1B1QK2R w K - 3 19,c5d7
r4rk1/3b1ppp/p1p1p3/B2nP3/3P4/5N1P/1P3PP1/1B1QK2R w K - 0 20,d1d3
1r3rk1/3b1ppp/p1p1p3/B2nP3/3P4/3Q1N1P/1P3PP1/1B2K2R w K - 2 21,d3h7
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,d2d4
rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,e2e3
rnbqkbnr/ppp1ppp1/7p/3p4/3P4/4P3/PPP2PPP/RNBQKBNR w KQkq - 0 3,c2c4
rnbqkb1r/ppp1ppp1/5n1p/3p4/2PP4/4P3/PP3PPP/RNBQKBNR w KQkq - 1 4,f1d3
rn1qkb1r/ppp1ppp1/5n1p/3p4/2PP2b1/3BP3/PP3PPP/RNBQK1NR w KQkq - 3 5,f2f3
rnbqkb1r/ppp1ppp1/5n1p/3p4/2PP4/3BPP2/PP4PP/RNBQK1NR w KQkq - 1 6,c1d2
rnbqkb1r/ppp1ppp1/5n1p/8/2pP4/3BPP2/PP1B2PP/RN1QK1NR w KQkq - 0 7,d3c4
r1bqkb1r/ppp1ppp1/2n2n1p/8/2BP4/4PP2/PP1B2PP/RN1QK1NR w KQkq - 1 8,f3f4
r1bqkb1r/ppp2pp1/2n1pn1p/8/2BP1P2/4P3/PP1B2PP/RN1QK1NR w KQkq - 0 9,d2c3
r1bqk2r/ppp2pp1/2n1pn1p/8/1bBP1P2/2B1P3/PP4PP/RN1QK1NR w KQkq - 2 10,g1f3
r1bq1rk1/ppp2pp1/2n1pn1p/8/1bBP1P2/2B1PN2/PP4PP/RN1QK2R w KQ - 4 11,f3e5
r1bq1rk1/ppp2pp1/2n1pn1p/4N3/2BP1P2/2b1P3/PP4PP/RN1QK2R w KQ - 0 12,b1c3
r1bq1rk1/ppp2pp1/4pn1p/4n3/2BP1P2/2N1P3/PP4PP/R2QK2R w KQ - 0 13,d4e5
r1bq1rk1/pppn1pp1/4p2p/4P3/2B2P2/2N1P3/PP4PP/R2QK2R w KQ - 1 14,e3e4
r1bq1rk1/ppp2pp1/1n2p2p/4P3/2B1PP2/2N5/PP4PP/R2QK2R w KQ - 1 15,c4b3
r1b2rk1/ppp2pp1/1n2p2p/4P3/4PP2/1BN5/PP4PP/R2qK2R w KQ - 0 16,b3d1
r4rk1/pppb1pp1/1n2p2p/4P3/4PP2/2N5/PP4PP/R2BK2R w KQ - 1 17,f4f5
r4rk1/pppb1pp1/1n5p/4Pp2/4P3/2N5/PP4PP/R2BK2R w KQ - 0 18,e4f5
r4rk1/ppp2pp1/1n5p/4Pb2/8/2N5/PP4PP/R2BK2R w KQ - 0 19,e1g1
r4rk1/ppp2pp1/1n5p/4P3/8/2Nb4/PP4PP/R2B1RK1 w - - 2 20,f1f3
r4rk1/ppp2pp1/1n5p/4P3/2b5/2N2R2/PP4PP/R2B2K1 w - - 4 21,d1c2
3r1rk1/ppp2pp1/1n5p/4P3/2b5/2N2R2/PPB3PP/R5K1 w - - 6 22,b2b3
3r1rk1/ppp2pp1/1n5p/3bP3/8/1PN2R2/P1B3PP/R5K1 w - - 1 23,c3d5
3r1rk1/ppp2pp1/7p/3nP3/8/1P3R2/P1B3PP/R5K1 w - - 0 24,f3d3
3r1rk1/ppp2pp1/7p/4P3/5n2/1P1R4/P1B3PP/R5K1 w - - 2 25,d3d8
3r2k1/ppp2pp1/7p/4P3/5n2/1P6/P1B3PP/R5K1 w - - 0 26,a1f1
3r2k1/ppp2pp1/7p/4P3/8/1P6/P1B1n1PP/5RK1 w - - 2 27,g1h1
6k1/ppp2pp1/7p/4P3/8/1P6/P1Brn1PP/5R1K w - - 4 28,c2b1
